"Universidad","Tipo de Gestión","Región","Grupo","Estado"
"UNIVERSIDAD PERUANA DE INVESTIGACIÓN Y NEGOCIOS S.A.C. ","PRIVADA","LIMA ","GRUPO 5","LICENCIA DENEGADA"
"UNIVERSIDAD INCA GARCILASO DE LA VEGA ASOCIACIÓN CIVIL ","PRIVADA","LIMA ","GRUPO 2","LICENCIA DENEGADA"
"UNIVERSIDAD POLITÉCNICA AMAZÓNICA S.A.C. ","PRIVADA","AMAZONAS ","GRUPO 7","LICENCIA DENEGADA"
"UNIVERSIDAD PRIVADA DE LA SELVA PERUANA S.A.C. ","PRIVADA","LORETO ","GRUPO 5","LICENCIA DENEGADA"
"ESCUELA INTERNACIONAL DE POSGRADO - ESIP ","PRIVADA","LIMA ","GRUPO 9","LICENCIA DENEGADA"
"ESCUELA DE POSTGRADO ""SAN FRANCISCO XAVIER ESCUELA DE NEGOCIOS S.A.C"" ","PRIVADA","AREQUIPA ","GRUPO 9","LICENCIA DENEGADA"
"UNIVERSIDAD SEMINARIO BÍBLICO ANDINO ","PRIVADA","LIMA ","GRUPO 9","LICENCIA DENEGADA"
"UNIVERSIDAD SEMINARIO EVANGÉLICO DE LIMA ","PRIVADA","LIMA ","GRUPO 9","LICENCIA DENEGADA"
"UNIVERSIDAD PRIVADA SISE S.A.C. ","PRIVADA","LIMA ","GRUPO 8","LICENCIA DENEGADA"
"UNIVERSIDAD PERUANA SANTO TOMÁS DE AQUINO DE CIENCIA E INTEGRACIÓN S.A.C. ","PRIVADA","JUNÍN ","GRUPO 8","LICENCIA DENEGADA"
"UNIVERSIDAD GLOBAL DEL CUSCO SOCIEDAD ANÓNIMA CERRADA ","PRIVADA","CUSCO ","GRUPO 4","LICENCIA DENEGADA"
"UNIVERSIDAD PRIVADA LÍDER PERUANA S.A.C. ","PRIVADA","CUSCO ","GRUPO 8","LICENCIA DENEGADA"
"UNIVERSIDAD MARÍTIMA DEL PERÚ S.A.C. ","PRIVADA","CALLAO ","GRUPO 8","LICENCIA DENEGADA"
"UNIVERSIDAD SANTO DOMINGO DE GUZMÁN ","PRIVADA","LIMA ","GRUPO 8","LICENCIA DENEGADA"
"UNIVERSIDAD NACIONAL CIRO ALEGRÍA ","PÚBLICA","LA LIBERTAD ","GRUPO 9","LICENCIA DENEGADA"
"UNIVERSIDAD PRIVADA AUTÓNOMA DEL SUR S.A.C. ","PRIVADA","AREQUIPA ","GRUPO 7","LICENCIA DENEGADA"
"UNIVERSIDAD LATINOAMERICANA CIMA SOCIEDAD ANÓNIMA CERRADA ","PRIVADA","TACNA ","GRUPO 6","LICENCIA DENEGADA"
"UNIVERSIDAD PRIVADA LEONARDO DA VINCI S.A.C. ","PRIVADA","LA LIBERTAD ","GRUPO 6","LICENCIA DENEGADA"
"UNIVERSIDAD PRIVADA JUAN PABLO II S.A.C. ","PRIVADA","LIMA ","GRUPO 5","LICENCIA DENEGADA"
"UNIVERSIDAD INTERAMERICANA PARA EL DESARROLLO S.A.C. ","PRIVADA","LIMA ","GRUPO 6","LICENCIA DENEGADA"
"UNIVERSIDAD SAN ANDRÉS S.A.C. ","PRIVADA","LIMA ","GRUPO 5","LICENCIA DENEGADA"
"UNIVERSIDAD AUTÓNOMA SAN FRANCISCO S.A.C. ","PRIVADA","AREQUIPA ","GRUPO 6","LICENCIA DENEGADA"
"UNIVERSIDAD PERUANA AUSTRAL DEL CUSCO S.A.C. ","PRIVADA","CUSCO ","GRUPO 5","LICENCIA DENEGADA"
"UNIVERSIDAD DE AYACUCHO FEDERICO FROEBEL S.A.C. ","PRIVADA","AYACUCHO ","GRUPO 5","LICENCIA DENEGADA"
"UNIVERSIDAD CIENCIAS DE LA SALUD S.A.C. ","PRIVADA","AREQUIPA ","GRUPO 4","LICENCIA DENEGADA"
"UNIVERSIDAD PERUANA DE ARTE ORVAL S.A.C. ","PRIVADA","LIMA ","GRUPO 4","LICENCIA DENEGADA"
"UNIVERSIDAD DE LAMBAYEQUE S.A.C. ","PRIVADA","LAMBAYEQUE ","GRUPO 4","LICENCIA DENEGADA"
"UNIVERSIDAD PRIVADA ARZOBISPO LOAYZA S.A.C ","PRIVADA","LIMA ","GRUPO 3","LICENCIA DENEGADA"
"UNIVERSIDAD PERUANA DEL CENTRO ","PRIVADA","JUNÍN ","GRUPO 3","LICENCIA DENEGADA"
