Universidad,Tipo de Gestión,Región,Grupo,Estado,CODIGO_ENTIDAD,TIPO_GESTION,ESTADO_LICENCIAMIENTO,PERIODO_LICENCIAMIENTO,DEPARTAMENTO_LOCAL,PROVINCIA_LOCAL,DISTRITO_LOCAL,LATITUD_UBICACION,LONGITUD_UBICACION
UNIVERSIDAD PERUANA DE INVESTIGACIÓN Y NEGOCIOS S.A.C.,PRIVADA,LIMA,GRUPO 5,LICENCIA DENEGADA,113,PRIVADO,LICENCIA DENEGADA,0,LIMA,LIMA,JESÚS MARÍA,-12.0825774,-77.0462745
UNIVERSIDAD INCA GARCILASO DE LA VEGA ASOCIACIÓN CIVIL,PRIVADA,LIMA,GRUPO 2,LICENCIA DENEGADA,24,PRIVADO,LICENCIA DENEGADA,0,LIMA,LIMA,LINCE,-12.0828451,-77.0345819
UNIVERSIDAD POLITÉCNICA AMAZÓNICA S.A.C.,PRIVADA,AMAZONAS,GRUPO 7,LICENCIA DENEGADA,137,PRIVADO,LICENCIA DENEGADA,0,AMAZONAS,UTCUBAMBA,BAGUA GRANDE,-5.7566749,-78.443932
UNIVERSIDAD PRIVADA DE LA SELVA PERUANA S.A.C.,PRIVADA,LORETO,GRUPO 5,LICENCIA DENEGADA,110,PRIVADO,LICENCIA DENEGADA,0,LORETO,MAYNAS,IQUITOS,-3.7545929,-73.2471887
ESCUELA INTERNACIONAL DE POSGRADO - ESIP,PRIVADA,LIMA,GRUPO 9,LICENCIA DENEGADA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ESCUELA DE POSTGRADO ""SAN FRANCISCO XAVIER ESCUELA DE NEGOCIOS S.A.C""",PRIVADA,AREQUIPA,GRUPO 9,LICENCIA DENEGADA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UNIVERSIDAD SEMINARIO BÍBLICO ANDINO,PRIVADA,LIMA,GRUPO 9,LICENCIA DENEGADA,148,PRIVADO,LICENCIA DENEGADA,0,LIMA,LIMA,PUEBLO LIBRE,-12.0696208,-77.0533978
UNIVERSIDAD SEMINARIO EVANGÉLICO DE LIMA,PRIVADA,LIMA,GRUPO 9,LICENCIA DENEGADA,147,PRIVADO,LICENCIA DENEGADA,0,LIMA,LIMA,LA MOLINA,-12.0638224,-76.9601327
UNIVERSIDAD PRIVADA SISE S.A.C.,PRIVADA,LIMA,GRUPO 8,LICENCIA DENEGADA,146,PRIVADO,LICENCIA DENEGADA,0,LIMA,LIMA,ATE,-12.0165774,-76.8901713
UNIVERSIDAD PERUANA SANTO TOMÁS DE AQUINO DE CIENCIA E INTEGRACIÓN S.A.C.,PRIVADA,JUNÍN,GRUPO 8,LICENCIA DENEGADA,145,PRIVADO,LICENCIA DENEGADA,0,JUNÍN,HUANCAYO,HUANCAYO,-12.0711983,-75.2139846
UNIVERSIDAD GLOBAL DEL CUSCO S.A.C.,PRIVADA,CUSCO,GRUPO 4,LICENCIA DENEGADA,144,PRIVADO,LICENCIA DENEGADA,0,CUSCO,CUSCO,CUSCO,-13.5242195,-71.9436937
UNIVERSIDAD PRIVADA LÍDER PERUANA S.A.C.,PRIVADA,CUSCO,GRUPO 8,LICENCIA DENEGADA,142,PRIVADO,LICENCIA DENEGADA,0,CUSCO,LA CONVENCIÓN,SANTA ANA,-12.8604607,-72.6921444
UNIVERSIDAD MARÍTIMA DEL PERÚ S.A.C.,PRIVADA,CALLAO,GRUPO 8,LICENCIA DENEGADA,141,PRIVADO,LICENCIA DENEGADA,0,CALLAO,PROV. CONST. DEL CALLAO,CALLAO,-12.0614969,-77.1471769
UNIVERSIDAD SANTO DOMINGO DE GUZMÁN,PRIVADA,LIMA,GRUPO 8,LICENCIA DENEGADA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UNIVERSIDAD NACIONAL CIRO ALEGRÍA,PÚBLICA,LA LIBERTAD,GRUPO 9,LICENCIA DENEGADA,139,PÚBLICO,CON INFORME DE REVISIÓN DOCUMENTARIA (IRD) DESFAVORABLE,0,LA LIBERTAD,SÁNCHEZ CARRIÓN,HUAMACHUCO,-7.812512994,-78.04537079
UNIVERSIDAD PRIVADA AUTÓNOMA DEL SUR S.A.C.,PRIVADA,AREQUIPA,GRUPO 7,LICENCIA DENEGADA,135,PRIVADO,LICENCIA DENEGADA,0,AREQUIPA,AREQUIPA,AREQUIPA,-16.4083213,-71.5281451
UNIVERSIDAD LATINOAMERICANA CIMA S.A.C.,PRIVADA,TACNA,GRUPO 6,LICENCIA DENEGADA,134,PRIVADO,LICENCIA DENEGADA,0,TACNA,TACNA,TACNA,-18.0165596,-70.2417025
UNIVERSIDAD PRIVADA LEONARDO DA VINCI S.A.C.,PRIVADA,LA LIBERTAD,GRUPO 6,LICENCIA DENEGADA,119,PRIVADO,LICENCIA DENEGADA,0,LA LIBERTAD,TRUJILLO,TRUJILLO,-8.1151,-79.03194
UNIVERSIDAD PRIVADA JUAN PABLO II S.A.C.,PRIVADA,LIMA,GRUPO 5,LICENCIA DENEGADA,118,PRIVADO,LICENCIA DENEGADA,0,LIMA,LIMA,ATE,-12.0211306,-76.9037173
UNIVERSIDAD INTERAMERICANA PARA EL DESARROLLO S.A.C.,PRIVADA,LIMA,GRUPO 6,LICENCIA DENEGADA,117,PRIVADO,LICENCIA DENEGADA,0,LIMA,LIMA,BREÑA,-12.0563001,-77.044063
UNIVERSIDAD SAN ANDRÉS S.A.C.,PRIVADA,LIMA,GRUPO 5,LICENCIA DENEGADA,116,PRIVADO,LICENCIA DENEGADA,0,LIMA,LIMA,INDEPENDENCIA,-11.990606,-77.0598606
UNIVERSIDAD AUTÓNOMA SAN FRANCISCO S.A.C.,PRIVADA,AREQUIPA,GRUPO 6,LICENCIA DENEGADA,115,PRIVADO,LICENCIA DENEGADA,0,AREQUIPA,AREQUIPA,TIABAYA,-16.4495719,-71.600257
UNIVERSIDAD PERUANA AUSTRAL DEL CUSCO S.A.C.,PRIVADA,CUSCO,GRUPO 5,LICENCIA DENEGADA,114,PRIVADO,LICENCIA DENEGADA,0,CUSCO,CUSCO,CUSCO,-13.52546307,-71.95167842
